project_code,band_predictions,probabilties
2016.1.00485.S,"[1, 10, 9, 5, 4, 8, 7, 6, 3]","[1.3713215908923409e-08, 0.5543799410914415, 0.013183178402387755, 0.0004043052946699734, 0.30543891523352085, 0.11185081674505547, 0.014659074865382375, 8.267685904850939e-05, 1.0777952723874709e-06]"
2017.1.00824.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.1025813161525337e-08, 0.2148102327658373, 0.011720852765603853, 0.00043949330194466984, 0.47072054594232865, 0.3004025992325971, 0.0016886914822722028, 0.00021606314436693183, 1.5003392328263157e-06]"
2015.1.01088.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.6815495817615008e-08, 0.5361250299572375, 0.010087620514089785, 0.0012589879259156907, 0.2611000559858311, 0.18694261867574893, 0.004297207990139021, 0.00018589860341808597, 2.553532130634194e-06]"
2013.1.00781.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.18714264406462e-08, 0.21666661260064976, 0.0078286792783309, 0.0003365427792771835, 0.696896122131343, 0.07684269574051894, 0.0013897764786006451, 3.7968035756641164e-05, 1.5610840934419837e-06]"
2016.1.00800.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[4.76488140553174e-08, 0.17395402733148307, 0.004890451553227654, 0.0005661110263893583, 0.5630204634534887, 0.25474406773867425, 0.0025453606183705986, 0.0002758912896100686, 3.5793399447212344e-06]"
2015.1.00350.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[3.641974123401974e-07, 0.024181648998214452, 0.0038757218581105205, 0.0004754955925353147, 0.8127082048838409, 0.15769943139679846, 0.0008774644261827177, 0.00017324559043747198, 8.423056466435306e-06]"
2015.1.00340.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.0633895210153983e-10, 0.1761797628812863, 0.0009400866569835821, 1.11793848753866e-05, 0.69888007493516, 0.12391842437801388, 6.643666880433548e-05, 4.018308002596842e-06, 1.6680532957102485e-08]"
2022.1.00859.S,"[1, 10, 9, 5, 4, 8, 7, 3, 6]","[4.835379178481206e-08, 0.38858308528727237, 0.008257416447290463, 0.0005963286717140275, 0.4243456377493236, 0.1350983641876311, 0.043027214304440405, 8.86922094055258e-05, 3.2127891324718244e-06]"
2012.1.00303.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[1.682586679513842e-08, 0.10154596557127125, 0.001702167928607821, 4.423788669437762e-05, 0.6938167708055318, 0.2022175055319837, 0.0006052428930623591, 6.728029952552382e-05, 8.122574547734768e-07]"
2018.1.00589.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.05252142080302e-09, 0.6749661281276359, 0.0024394809368473236, 0.000104942154363584, 0.24035094622744477, 0.08179737073684586, 0.00033288021593608084, 7.963717464630478e-06, 2.858309390390273e-07]"
2018.1.01710.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.967539027157234e-10, 0.3757721514145028, 0.005741297251373089, 0.0001680559155454671, 0.48720340693965775, 0.12945955640973938, 0.001643585950652791, 1.1853086839387948e-05, 9.243493694823126e-08]"
2019.1.01124.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[5.638748528967351e-09, 0.6302739517069488, 0.004710203142912867, 0.00023129998677054594, 0.26708268811645425, 0.09579055453431823, 0.0018844812971103256, 2.658171618377938e-05, 2.3386055009366833e-07]"
2013.1.00527.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[1.449172949397432e-08, 0.12461013110991126, 0.008449088103827064, 0.0010522599756129431, 0.3963267592093096, 0.46513871832182796, 0.004209247707504167, 0.00021176259911861761, 2.0184811592767818e-06]"
2022.1.00383.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.0115322074530506e-10, 0.2730029446261808, 0.002019727236622767, 2.3773815353688396e-05, 0.6084875790019928, 0.11616249019678936, 0.00029297754747744926, 1.0469202597677208e-05, 3.817182917273536e-08]"
2018.1.00434.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.565544567992962e-10, 0.4081538677708051, 0.00331588039264152, 7.065548105213035e-05, 0.46075324509186455, 0.12667749931874883, 0.0010223025932043208, 6.42029332195012e-06, 1.2860180746635238e-07]"
2022.1.01595.S,"[1, 10, 9, 8, 5, 4, 3, 7, 6]","[1.0572867209318126e-09, 0.16511838340513152, 0.008050077467299502, 0.00013603102701850123, 0.6519961163714056, 0.17455889532534408, 0.0001303305646733722, 1.001302768675186e-05, 1.5175415233681118e-07]"
2022.1.00908.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[2.0847943058852833e-07, 0.04452872245704758, 0.015992792107567252, 0.0012543975928964158, 0.4128128270729926, 0.52100945514653, 0.003288224122414305, 0.0011051875452181858, 8.185475898523353e-06]"
2019.1.00743.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.4822154459866959e-08, 0.7173828611991975, 0.0100438271000738, 0.00022970950736909845, 0.23309621603569997, 0.03842880002761301, 0.0007775889382517302, 3.98348320347385e-05, 1.1475375996239695e-06]"
2013.1.01091.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.5861711827991562e-09, 0.2271459537858802, 0.0004875709831486382, 1.9317090802850524e-05, 0.7395689699960857, 0.03256185342419828, 0.00021175444792316986, 4.457400997251069e-06, 1.2128479161735321e-07]"
2015.1.00981.S,"[1, 10, 9, 5, 4, 8, 3, 7, 6]","[1.7742008263280108e-08, 0.17339457858016752, 0.007903872119047915, 0.0012852764050537392, 0.5914362977388996, 0.209024460087497, 0.016227915190228513, 0.0007251284760184403, 2.4536610767079634e-06]"
2021.1.00999.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[8.851086665695653e-10, 0.5038123381064663, 0.0012894680880335262, 2.1852075938598132e-05, 0.4615063364843804, 0.03286871958607105, 0.0004950771923577264, 6.134656737997302e-06, 7.292490712036244e-08]"
2022.1.01437.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[3.6535561049771312e-09, 0.10080988076463948, 0.0014095574992875621, 1.9767496657174496e-05, 0.7409857285971648, 0.1566366945071179, 0.00011609947969062331, 2.214674747581219e-05, 1.21254412575801e-07]"
2013.1.01180.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[5.506530349907698e-09, 0.5374911920629493, 0.0019794319271114035, 7.23369702983776e-05, 0.3929986906555395, 0.06705239839643902, 0.0003606354282400022, 4.4926177288172285e-05, 3.8287560600756765e-07]"
2013.1.00617.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.882393939135683e-09, 0.25409385918558786, 0.0013095773921746722, 0.00012014002330311855, 0.6967414602820917, 0.04726360703644467, 0.000457257475027926, 1.3704245299494202e-05, 3.8847768089404105e-07]"
2018.1.00124.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[7.836063233263715e-10, 0.07141809248439776, 0.0006811114567752666, 2.3115523829932367e-05, 0.38326242702630486, 0.5441397636629643, 0.0004569503388725934, 1.84654260203968e-05, 7.329723193032175e-08]"
2012.1.00323.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[8.561440209560487e-09, 0.5254388274499338, 0.005945017724898238, 0.00029740868051083343, 0.4097306390256733, 0.05726719579710016, 0.001287588311185921, 3.2389420252645005e-05, 9.250290067856421e-07]"
2015.1.01107.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.1634268990418846e-09, 0.4370713381348456, 0.004188376607185761, 9.882179521652252e-05, 0.48426799953654687, 0.07309613992245075, 0.0012335968723384781, 4.347523027644332e-05, 2.497377100993194e-07]"
2022.1.00963.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.2743200021453252e-09, 0.17221597846353248, 0.002255413741998532, 0.00013444033864351147, 0.5737023639087792, 0.25134664434749426, 0.00032758718786163934, 1.7393152391069823e-05, 1.7658498121047334e-07]"
2016.1.00550.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.60280704323753e-09, 0.33828740161885096, 0.005214966377378629, 0.00015250222022212024, 0.5225781283237692, 0.13286092421502085, 0.000874887808645017, 3.085208178893222e-05, 3.327515143103294e-07]"
2022.1.00687.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[4.22804343100889e-09, 0.5037323496625459, 0.01681651589565279, 0.0001279202271898647, 0.431717199963602, 0.04489890331606428, 0.0026705610711051414, 3.618648315525943e-05, 3.5915264234392294e-07]"
2015.1.01147.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.260189706959743e-09, 0.7073765397373944, 0.004740355139091522, 0.00013428338897431035, 0.21354654887088567, 0.07345484937219648, 0.0007209467654185232, 2.615401958904615e-05, 3.164462589050654e-07]"
2017.1.01101.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.0782997536031825e-08, 0.14665980960888786, 0.003151863372947937, 0.00023928493232912035, 0.8013771933479606, 0.046882512279949703, 0.0016495107875245407, 3.738075843924269e-05, 2.4141289580345307e-06]"
2013.1.01359.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[6.986930439873774e-10, 0.35909159200847574, 0.006429170875071453, 0.00010072875476392378, 0.5575715886184316, 0.07562729739117373, 0.001174184163382476, 5.36366813793923e-06, 7.382187085826772e-08]"
2013.1.00305.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[7.122495184765088e-08, 0.05550371567055465, 0.013109355308702678, 0.00033437562444793676, 0.5004889025636041, 0.42775092389849145, 0.0022421119076125985, 0.0005675239400988191, 3.01986153814392e-06]"
2016.A.00030.T,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[3.921181783605374e-06, 0.105196720367285, 0.04582567926931747, 0.008413593318258769, 0.20177125876038235, 0.6218207971276072, 0.014067523194779582, 0.00271357433120502, 0.00018693244938254296]"
2022.1.01691.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.7628475384627295e-08, 0.46548911557800454, 0.001110565626920478, 0.00011170626419321519, 0.4829833387972989, 0.049891019267905054, 0.0003833878530652291, 3.0134938622028534e-05, 7.140455092265024e-07]"
2012.1.00853.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[8.475399358654304e-07, 0.013992022347327483, 0.006261313566656537, 0.002538587536006805, 0.05586581547069586, 0.9163673660771205, 0.004198223300344609, 0.0007524123940188043, 2.3411767886359055e-05]"
2012.1.00671.S,"[1, 10, 9, 5, 4, 8, 3, 7, 6]","[5.336562595530618e-09, 0.1682287591294559, 0.005459648245066459, 0.0007787245293743694, 0.49758063744589626, 0.3222859492693117, 0.005534146748716512, 0.00013154971158384516, 5.795840308076034e-07]"
2016.1.01372.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.1818287911500196e-09, 0.21739579455665572, 0.0011723377996606514, 5.99035276176881e-05, 0.6859237858961603, 0.09485300736708019, 0.000588222138669438, 6.739692605215345e-06, 2.0683972168236134e-07]"
2018.1.01634.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[2.610235420174102e-09, 0.06009938352235426, 0.005512587994381025, 0.00026078565553552287, 0.46206414090756154, 0.4716365713803043, 0.00036942837908305774, 5.681192637930557e-05, 2.876241626458395e-07]"
2021.1.00728.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.421585640499641e-09, 0.42000452188682125, 0.0009485017064746345, 8.215286809238307e-05, 0.5361349860074304, 0.04198766871625504, 0.0008199477800792278, 2.1774633761460614e-05, 4.4097949659383637e-07]"
2018.1.00164.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[9.909366395868733e-09, 0.5542399454385383, 0.014718948675065275, 0.0002829470747031128, 0.3013678538285504, 0.1272074924070137, 0.0021307424878455874, 5.13463233660059e-05, 7.138555524998129e-07]"
2019.1.00572.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.1151195672429461e-09, 0.13777750668891123, 0.0016187490607197038, 4.41204120507146e-05, 0.6204172541668911, 0.23998255891820947, 0.0001489882632746611, 1.075182616549711e-05, 6.954866085015792e-08]"
2022.1.00794.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.0820959001983293e-09, 0.16571614353910855, 0.001711437622210212, 6.93597227657278e-05, 0.7275583554184201, 0.10478920855913036, 0.0001452498413954916, 1.016561967974445e-05, 7.859519598484258e-08]"
2013.1.00211.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.8748031736871303e-09, 0.16604568498201064, 0.002183611724432063, 6.31662196817178e-05, 0.667182639435981, 0.16423877280278118, 0.00025472856768082413, 3.120723584842689e-05, 1.871567791624583e-07]"
2017.1.00555.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[2.4374263395452953e-07, 0.1692440854537552, 0.02452940604053092, 0.0015359670103140557, 0.2836152573837777, 0.5163637128101701, 0.004197051738558572, 0.000499489665460589, 1.4786154793014041e-05]"
2021.1.00675.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.782760339271646e-08, 0.2995596113892449, 0.022974850660758425, 0.0004893971451416134, 0.4159968604077679, 0.2593347046257619, 0.0015855514492451967, 5.734962275812331e-05, 1.6368717233807582e-06]"
2018.1.01869.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[9.768779363438674e-10, 0.5394257793496864, 0.0035870985948773374, 7.672514828604114e-05, 0.23904284413349547, 0.21737436656539424, 0.00048472724909110897, 8.374911403345584e-06, 8.3070888938309e-08]"
2015.1.00615.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.253646140331747e-09, 0.11093347554918669, 0.002847102875924666, 7.881403801504941e-05, 0.75326421476251, 0.13234246640451278, 0.0005161273149020856, 1.7633365734171557e-05, 1.6443556802039526e-07]"
2016.1.00391.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.150772635561632e-08, 0.24098459751304008, 0.0035769973256281023, 0.00027160879797790685, 0.5107736770872567, 0.24368140662023638, 0.0006402516318830397, 6.881987196557037e-05, 2.5796442875794883e-06]"
2018.1.01239.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[2.4805052419911532e-09, 0.08477966202501679, 0.0015011332460332643, 8.54419083029158e-05, 0.33561015951175877, 0.5770997195638062, 0.0008731006040612796, 5.0538357178982906e-05, 2.4230333944800275e-07]"
2016.1.01093.S,"[1, 10, 9, 5, 4, 8, 7, 3, 6]","[1.1979270618473678e-09, 0.31560267040276496, 0.0027471179751034952, 0.00011900899261657322, 0.5522451970887209, 0.12504576637940773, 0.004223462933902305, 1.6507049302097655e-05, 2.6798025505233284e-07]"
2017.1.01512.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.0442253251368435e-09, 0.5581942190082504, 0.01252691851262941, 0.0002649534363744875, 0.25407210805272895, 0.1726280007475631, 0.002273367933109564, 3.973838564253692e-05, 6.87879474175753e-07]"
2019.1.00862.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.068924238397869e-08, 0.5025563310622423, 0.029996116665321974, 0.000576303469263804, 0.35417361310623485, 0.11050253092997323, 0.002118488433744678, 7.289261216430893e-05, 3.6530318143650437e-06]"
2022.1.00319.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.8305103184441813e-09, 0.5957930117298992, 0.01920183034226803, 0.00015519745887571936, 0.29414684488287346, 0.0860504619957269, 0.004625800207295657, 2.655940664020564e-05, 2.9214591431645477e-07]"
2018.1.01359.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.700977485190768e-10, 0.22440276959704908, 0.0016659113329917513, 7.443879428997335e-05, 0.639264925204031, 0.13304265652894406, 0.0015437658368252392, 5.5024020056038926e-06, 3.0133764475509435e-08]"
2015.1.01177.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.0475077635403694e-08, 0.49937324030673186, 0.003324961155176039, 0.00017197823785492257, 0.40794664613251674, 0.08723138827372669, 0.0019031821925598717, 4.757512613881603e-05, 1.0181002190351911e-06]"
2013.1.00834.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.02443882179066e-08, 0.5559802098080384, 0.0017745149499312695, 0.00026091248158675016, 0.36004874565033707, 0.08033704045778219, 0.0013433752273683901, 0.00025202121300778817, 3.1199675612410056e-06]"
2022.1.01160.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[7.136012435924666e-09, 0.15265856794113464, 0.0023810557587328435, 9.264264626215445e-05, 0.7047125096147595, 0.13960827902762749, 0.0005237418147299601, 2.2898221836898464e-05, 2.978389045771594e-07]"
2015.1.00307.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.0817859854520316e-07, 0.04849275334238565, 0.009172765151931687, 0.0006777589263305472, 0.49659606758196706, 0.4411172217686111, 0.0036083565450401836, 0.0003263264857989506, 8.642019337480874e-06]"
2011.0.00136.S,"[1, 10, 9, 8, 5, 4, 3, 7, 6]","[8.521947790334378e-07, 0.056274643259815314, 0.013175906041873416, 0.011380021746612855, 0.6507487829661754, 0.257223349352676, 0.009305922426221419, 0.001846252351976163, 4.42696598676801e-05]"
2022.1.00086.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[5.89567306797606e-07, 0.14852062794678608, 0.008528272601045684, 0.0011845563452742196, 0.4462086193836485, 0.39217414109554766, 0.002772422454560377, 0.0005914127436634378, 1.9357862162021752e-05]"
2023.1.00642.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.3895329500796587e-07, 0.5107177564178217, 0.004454913231169661, 0.0004988768822528435, 0.3806655272377511, 0.09931356057487128, 0.0041064175239469754, 0.00023400926559666792, 8.79991329411027e-06]"
2019.1.01177.S,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[4.496900085829771e-09, 0.03697028336303802, 0.00493740669187934, 0.0003985775142909141, 0.4348761760100247, 0.522329079410061, 0.0004124041478338223, 7.544779865048437e-05, 6.205673235124422e-07]"
2012.1.00088.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.001131821539961e-09, 0.3431757129187798, 0.006493844933973954, 0.0001330971493659242, 0.4908656375762412, 0.15404256953939555, 0.005270313033725391, 1.865961043241462e-05, 1.6423694933182107e-07]"
2017.1.01380.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.4095045095598541e-08, 0.36939881896221805, 0.0038269372472548176, 0.00012562800607825245, 0.43675950636058997, 0.18949291858463466, 0.00036915753707416547, 2.6680014471732544e-05, 3.391926366561981e-07]"
2019.2.00252.S,"[1, 10, 5, 9, 4, 8, 7, 6, 3]","[2.688658036150844e-07, 0.4877050510637257, 0.018116571187035194, 0.0013683953752276813, 0.3177936482347844, 0.15344596704243904, 0.019836738038859113, 0.001712331277960029, 2.102891416831118e-05]"
2016.1.00215.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.474597607520048e-09, 0.5957933030674412, 0.0037832254523175687, 0.0006209581957187937, 0.262539197546624, 0.13596994402628634, 0.001223181135357901, 6.938840805774122e-05, 7.956935987218973e-07]"
2021.1.01324.V,"[1, 10, 5, 9, 8, 4, 7, 3, 6]","[1.6246424594341353e-06, 0.18070575419234142, 0.012381446420365773, 0.001783202539026314, 0.7050287841157168, 0.09199721392760907, 0.005586188674772896, 0.002470617378328253, 4.5168109374362417e-05]"
2015.1.00341.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.1933790493401574e-09, 0.12829086493568417, 0.002257692892032505, 5.178227997960297e-05, 0.7392160478989592, 0.1300673436409807, 0.00010728519956631231, 8.87769793539693e-06, 1.0326148596791541e-07]"
2022.1.00545.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.0599305035459016e-09, 0.29169199040104377, 0.001686444195439709, 4.646244055393232e-05, 0.6178978165186171, 0.08701161328187136, 0.0016556110171947222, 9.96273641631019e-06, 9.834893125677158e-08]"
2017.1.01578.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[2.3053425332268203e-08, 0.04966266218032854, 0.00427600548875261, 0.00020163673948331352, 0.5901837332303611, 0.3545353461723478, 0.0009143169223784872, 0.00022485026717219424, 1.425945746963597e-06]"
2019.1.00386.T,"[1, 10, 9, 5, 8, 4, 3, 6, 7]","[2.3093091469009567e-08, 0.06321491426519264, 0.005365852354903202, 0.0003282400364527185, 0.3717180452252831, 0.5588211539932454, 0.00045193755184843334, 9.807930753130411e-05, 1.7541724449511588e-06]"
2013.1.01155.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.845049200437138e-10, 0.30248744989265386, 0.0011199217840569071, 3.782914592912173e-05, 0.48035525351087616, 0.2156022949140906, 0.00038988633548045, 7.274850484731658e-06, 8.898192007358318e-08]"
2023.1.01524.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.0238990603507774e-08, 0.7296977899168661, 0.004260122662550124, 8.716663648336936e-05, 0.2431801601199628, 0.021159090267990146, 0.0015729718262020166, 4.1974418495040456e-05, 7.139124617167025e-07]"
2013.1.00247.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.212553067928813e-09, 0.5020678434431608, 0.005395828349395001, 9.674785788026128e-05, 0.3483031548734343, 0.14272511004227437, 0.0013887222111651344, 2.247818093470833e-05, 1.1282920296837898e-07]"
2017.1.00467.S,"[1, 10, 9, 5, 4, 8, 3, 7, 6]","[2.5726161872501732e-09, 0.06940392395893445, 0.002272085893537746, 0.0002790630206564025, 0.7280831526522563, 0.19478829720216476, 0.0050881341735786395, 8.457367418471574e-05, 7.668520720933911e-07]"
2016.1.00138.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[6.191501017349025e-09, 0.05829407064788237, 0.0014271830662461618, 3.65696897226853e-05, 0.6757815886836789, 0.26410482877848357, 0.0003125510600996165, 4.291317128891801e-05, 2.887110940706615e-07]"
2022.1.00366.V,"[1, 10, 5, 9, 8, 4, 7, 3, 6]","[4.2203128651085406e-08, 0.1479440047822304, 0.0013298694682309326, 7.742897794069378e-05, 0.8020547831077567, 0.04762494400282304, 0.0008454857684502768, 0.00012223071607783264, 1.2109733605695855e-06]"
